c1,c2,c3,c4
0.2525,0.255,0.2475,0.245
0.2525,0.2575,0.2475,0.2425
0.2525,0.26,0.245,0.2425
0.2525,0.26,0.245,0.2425
0.2525,0.26,0.245,0.2425
0.2525,0.2575,0.245,0.245
0.2525,0.2575,0.245,0.245
0.2525,0.255,0.2475,0.245
0.255,0.2525,0.2475,0.245
0.255,0.2525,0.2475,0.245
0.255,0.255,0.2475,0.2425
0.255,0.255,0.25,0.24
0.255,0.2525,0.25,0.2425
0.255,0.2525,0.25,0.2425
0.255,0.25,0.2525,0.2425
0.255,0.25,0.25,0.245
0.255,0.25,0.25,0.245
0.255,0.25,0.25,0.245
0.255,0.25,0.25,0.245
0.255,0.25,0.25,0.245
0.255,0.2475,0.25,0.2475
0.255,0.25,0.25,0.245
0.2575,0.25,0.2475,0.245
0.2575,0.2525,0.2475,0.2425
0.255,0.255,0.2475,0.2425
0.255,0.255,0.25,0.24
0.255,0.2525,0.25,0.2425
0.2575,0.2525,0.25,0.24
0.2575,0.2525,0.2475,0.2425
0.26,0.2525,0.245,0.2425
0.2575,0.2525,0.245,0.245
0.2575,0.2525,0.245,0.245
0.2575,0.2525,0.245,0.245
0.255,0.2525,0.245,0.2475
0.2525,0.2525,0.245,0.25
0.2525,0.2525,0.2475,0.2475
0.255,0.2525,0.245,0.2475
0.255,0.25,0.245,0.25
0.255,0.25,0.245,0.25
0.255,0.2525,0.245,0.2475
0.255,0.2525,0.245,0.2475
0.2575,0.2525,0.2425,0.2475
0.255,0.2525,0.245,0.2475
0.2525,0.255,0.245,0.2475
0.2525,0.255,0.2475,0.245
0.2525,0.2575,0.245,0.245
0.2525,0.2575,0.245,0.245
0.2525,0.2575,0.2475,0.2425
0.25,0.2575,0.2475,0.245
0.2475,0.2575,0.2475,0.2475
0.245,0.2575,0.2475,0.25
0.245,0.2575,0.2475,0.25
0.245,0.255,0.25,0.25
0.245,0.2575,0.2475,0.25
0.2475,0.2575,0.245,0.25
0.2475,0.2575,0.245,0.25
0.2475,0.255,0.2475,0.25
0.25,0.2525,0.2475,0.25
0.25,0.2525,0.2475,0.25
0.2525,0.2525,0.2475,0.2475
0.2525,0.2525,0.2475,0.2475
